date,value
04-Nov-2025,1.56316695514598
05-Nov-2025,1.10811889210228
06-Nov-2025,0.0734213879357739
07-Nov-2025,0.483341933843297
08-Nov-2025,0.788655510419494
09-Nov-2025,2.34498389528847
10-Nov-2025,-0.0517986956320136
11-Nov-2025,1.52781329276522
12-Nov-2025,0.977753746307388
13-Nov-2025,0.35392521016332
14-Nov-2025,-0.556972745960131
15-Nov-2025,0.122595688449636
16-Nov-2025,0.222326711915642
17-Nov-2025,-1.2614833836686
18-Nov-2025,0.296710708138439
19-Nov-2025,-0.822293276290175
20-Nov-2025,-0.198769051227377
21-Nov-2025,0.128301650136481
22-Nov-2025,-1.21367105362178
23-Nov-2025,-0.694993004281496
24-Nov-2025,-0.149937242465822
25-Nov-2025,-2.42364439479678
26-Nov-2025,0.366845301886623
27-Nov-2025,1.68131631946197
28-Nov-2025,0.150383515033028
29-Nov-2025,-1.18179739879385
30-Nov-2025,-0.484922777783205
01-Dec-2025,-1.98704129480855
02-Dec-2025,0.899717859762053
03-Dec-2025,-0.0538174920161416
04-Dec-2025,-0.212654220064754
05-Dec-2025,-1.87039615732495
06-Dec-2025,-0.658198466351474
07-Dec-2025,-1.50935080114606
08-Dec-2025,-1.2249748761895
09-Dec-2025,-1.43603532042662
10-Dec-2025,-1.83475061000366
11-Dec-2025,-1.65189041235172
12-Dec-2025,-0.879027940414449
13-Dec-2025,-2.28664933646508
14-Dec-2025,0.107600575846084
15-Dec-2025,-0.524534932343763
16-Dec-2025,0.390143339269219
17-Dec-2025,0.0617369508988381
18-Dec-2025,0.389758592111757
19-Dec-2025,-1.4831210225159
20-Dec-2025,-0.915735922415312
21-Dec-2025,-0.239083319926768
22-Dec-2025,0.41867558570255
23-Dec-2025,1.53547309510408
